Barcode,Months,Nitrite,LogAOB,LogNitrospira
116042,0,1,4.999674691,6.068796966
116043,0,1,5.362013185,5.935104533
116045,0,1,4.930441763,5.928042507
116665,0,1,4.835778141,6.132630624
116676,0,1,3.998959879,5.650439237
116708,0,1,5.094635274,6.251835795
116709,0,1,5.301461705,6.121515272
116712,0,1,4.903353966,6.12252029
116714,0,1,5.145936359,6.131822949
116716,0,1,5.094571394,6.02303664
116731,0,1,5.234884346,6.11181565
116735,0,1,5.23571624,5.988013459
133907,24,12.4,7.36333033,6.181121634
133908,24,21.5,7.489245842,6.358354247
133909,24,0.8,6.87613027,6.182613985
133912,24,0.9,6.723106494,6.272899056
133914,24,20.8,7.36835202,6.419857827
133915,24,0.2,5.457461424,6.233719077
133916,24,1,6.327679799,6.073243523
133917,24,11.6,7.369943658,6.197150963
133918,24,3.5,6.988507113,6.156805104
133919,24,0.099909893,6.166390744,6.194979495
133920,24,0.1,5.285523907,6.237117665
133921,24,0.1,6.425166202,6.086647622
136607,36,51.52786113,7.595593085,6.149015787
136611,36,24.06199901,7.584822523,6.194731904
136612,21,0.6,5.789505726,6.15467525
136615,36,99.4,7.808453913,6.122565037
136616,21,0.6,6.468860253,6.082216359
136619,36,51.2,7.589820691,6.269719707
136623,36,62.6,7.821982597,6.143651803
136627,36,84.31914525,7.796560722,6.145005042
136628,21,0.148580208,6.001549119,6.096973009
136631,36,41.93822299,7.586088274,6.233054801
136632,21,1,5.13065307,6.117705754
136635,36,51.1,7.635406621,6.246198251
136636,21,0.074734474,5.48707515,6.097699083
136643,36,75.1,7.778934115,6.185912551
136648,21,0.8,5.491836833,6.220859116
136650,36,54.1,7.778710869,6.19145775
136651,21,0.1,4.853687084,6.156935781
136652,21,0.4,4.627733991,6.328702262
136654,36,57.4,7.506070153,6.14757036
136655,21,1.3,5.489835367,6.113755629
136656,21,0.5,5.932153166,6.171625764
136658,36,74.76342711,7.380293723,6.032893162
136659,21,0.1,5.811847901,6.275600797
136660,21,0.5,4.834295519,6.026237264
168786,60,160,7.347690364,6.209436673
168787,60,5,7.43416527,5.997199764
168789,60,54,7.265480448,6.000974775
168790,60,36,7.031193852,6.032367413
168791,60,180,7.613603052,6.252594561
168792,60,120,7.86607751,6.545016711
168793,60,50,7.55291558,6.104812857
168794,60,20,7.287135688,6.255980703
168796,60,94,7.445568872,5.904007671
168797,60,47,7.63144715,6.403483481
168798,60,6.7,6.593715471,6.062522998
133698,21,0.1,,
133911,24,0.1,,
136618,12,0.28272731,,
133913,24,0.9,,
116031,0,1,,
116032,0,1,,
116033,0,1,,
116034,0,1,,
116038,0,1,,
116039,0,1,,
116040,0,1,,
116041,0,1,,
116617,12,1,,
116664,0,1,,
116666,0,1,,
116668,0,1,,
116669,0,1,,
116672,0,1,,
116673,0,1,,
116674,0,1,,
116675,0,1,,
116678,0,1,,
116700,0,1,,
116701,0,1,,
116702,0,1,,
116703,0,1,,
116704,0,1,,
116706,0,1,,
116715,0,1,,
116716.2,0,1,,
116717,0,1,,
116721,0,1,,
116725,0,1,,
116729,0,1,,
116730,0,1,,
116732,0,1,,
116733,0,1,,
116734,0,1,,
123481,10,1,,
123839,12,1,,
123890,12,1,,
123928,12,1,,
133608,21,1,,
136605,12,1,,
136606,12,1,,
136610,12,1,,
136620,10,1,,
136621,12,1,,
136624,10,1,,
136625,12,1,,
136630,12,1,,
136634,12,1,,
136637,12,1,,
136640,10,1,,
136641,12,1,,
136644,10,1,,
136649,12,1,,
136661,10,1,,
136665,10,1,,
136669,10,1,,
136677,10,1,,
136681,10,1,,
136685,10,1,,
136689,10,1,,
136693,10,1,,
168788,60,5,,
136622,48,10.7,,
136638,48,33.6,,
147564,36,41.93822299,,
154761,48,50.6,,
136633,48,54.72983911,,
136614,48,56.4,,
136613,48,58.21387585,,
136653,48,63.70642658,,
136642,48,69.1,,
136657,48,70.4,,
168795,60,100,,
136646,48,106,,
136629,48,120,,
