Barcode,Months,Nitrite,Nitrifier,copies,log10copies
116042,0,1,AOB,99925.12277,4.999674691
116042,0,1,Nitrospira,1171647.49,6.068796966
116043,0,1,AOB,230151.1689,5.362013185
116043,0,1,Nitrospira,861201.015,5.935104533
116045,0,1,AOB,85200.42533,4.930441763
116045,0,1,Nitrospira,847310.3419,5.928042507
116665,0,1,AOB,68513.81348,4.835778141
116665,0,1,Nitrospira,1357158.664,6.132630624
116676,0,1,AOB,9976.078992,3.998959879
116676,0,1,Nitrospira,447135.5875,5.650439237
116708,0,1,AOB,124346.9891,5.094635274
116708,0,1,Nitrospira,1785812.24,6.251835795
116709,0,1,AOB,200198.9085,5.301461705
116709,0,1,Nitrospira,1322864.226,6.121515272
116712,0,1,AOB,80048.64154,4.903353966
116712,0,1,Nitrospira,1325929.064,6.12252029
116714,0,1,AOB,139938.2243,5.145936359
116714,0,1,Nitrospira,1354637.049,6.131822949
116716,0,1,AOB,124328.7003,5.094571394
116716,0,1,Nitrospira,1054475.855,6.02303664
116731,0,1,AOB,171745.0962,5.234884346
116731,0,1,Nitrospira,1293646.597,6.11181565
116735,0,1,AOB,172074.3904,5.23571624
116735,0,1,Nitrospira,972777.371,5.988013459
133907,24,12.4,AOB,23085023.96,7.36333033
133907,24,12.4,Nitrospira,1517475.312,6.181121634
133908,24,21.5,AOB,30849337.51,7.489245842
133908,24,21.5,Nitrospira,2282202.868,6.358354247
133909,24,0.8,AOB,7518483.838,6.87613027
133909,24,0.8,Nitrospira,1522698.728,6.182613985
133912,24,0.9,AOB,5285748.489,6.723106494
133912,24,0.9,Nitrospira,1874558.749,6.272899056
133914,24,20.8,AOB,23353502.28,7.36835202
133914,24,20.8,Nitrospira,2629407.077,6.419857827
133915,24,0.2,AOB,286722.2683,5.457461424
133915,24,0.2,Nitrospira,1712848.995,6.233719077
133916,24,1,AOB,2126570.569,6.327679799
133916,24,1,Nitrospira,1183705.112,6.073243523
133917,24,11.6,AOB,23439247.12,7.369943658
133917,24,11.6,Nitrospira,1574530.084,6.197150963
133918,24,3.5,AOB,9738837.361,6.988507113
133918,24,3.5,Nitrospira,1434845.38,6.156805104
133919,24,0.099909893,AOB,1466867.019,6.166390744
133919,24,0.099909893,Nitrospira,1566677.099,6.194979495
133920,24,0.1,AOB,192985.1569,5.285523907
133920,24,0.1,Nitrospira,1726305.544,6.237117665
133921,24,0.1,AOB,2661743.5,6.425166202
133921,24,0.1,Nitrospira,1220808.719,6.086647622
136607,36,51.52786113,AOB,39408788.59,7.595593085
136607,36,51.52786113,Nitrospira,1409340.028,6.149015787
136611,36,24.06199901,AOB,38443464.86,7.584822523
136611,36,24.06199901,Nitrospira,1565784.193,6.194731904
136612,21,0.6,AOB,615893.6493,5.789505726
136612,21,0.6,Nitrospira,1427825.883,6.15467525
136615,36,99.4,AOB,64335978.88,7.808453913
136615,36,99.4,Nitrospira,1326065.685,6.122565037
136616,21,0.6,AOB,2943474.33,6.468860253
136616,21,0.6,Nitrospira,1208415.699,6.082216359
136619,36,51.2,AOB,38888455.13,7.589820691
136619,36,51.2,Nitrospira,1860885.736,6.269719707
136623,36,62.6,AOB,66371647.37,7.821982597
136623,36,62.6,Nitrospira,1392040.281,6.143651802
136627,36,84.31914525,AOB,62598038.1,7.796560722
136627,36,84.31914525,Nitrospira,1396384.571,6.145005042
136628,21,0.148580208,AOB,1003573.348,6.001549119
136628,21,0.148580208,Nitrospira,1250181.33,6.096973009
136631,36,41.93822299,AOB,38555671.72,7.586088274
136631,36,41.93822299,Nitrospira,1710231.107,6.233054801
136632,21,1,AOB,135099.291,5.13065307
136632,21,1,Nitrospira,1311311.149,6.117705754
136635,36,51.1,AOB,43192328.82,7.635406621
136635,36,51.1,Nitrospira,1762780.552,6.24619825
136636,21,0.074734474,AOB,306955.3096,5.48707515
136636,21,0.074734474,Nitrospira,1252273.192,6.097699084
136643,36,75.1,AOB,60108254.25,7.778934115
136643,36,75.1,Nitrospira,1534308.007,6.185912551
136648,21,0.8,AOB,310339.3403,5.491836833
136648,21,0.8,Nitrospira,1662873.132,6.220859116
136650,36,54.1,AOB,60077363.94,7.778710869
136650,36,54.1,Nitrospira,1554024.102,6.19145775
136651,21,0.1,AOB,71398.17063,4.853687084
136651,21,0.1,Nitrospira,1435277.185,6.156935781
136652,21,0.4,AOB,42435.95601,4.627733991
136652,21,0.4,Nitrospira,2131583.071,6.328702262
136654,36,57.4,AOB,32067872.83,7.506070153
136654,36,57.4,Nitrospira,1404657.233,6.14757036
136655,21,1.3,AOB,308912.4179,5.489835367
136655,21,1.3,Nitrospira,1299438.198,6.113755629
136656,21,0.5,AOB,855368.3291,5.932153166
136656,21,0.5,Nitrospira,1484655.748,6.171625764
136658,36,74.76342711,AOB,24004558.51,7.380293723
136658,36,74.76342711,Nitrospira,1078681.33,6.032893162
136659,21,0.1,AOB,648407.3083,5.811847901
136659,21,0.1,Nitrospira,1886256.708,6.275600797
136660,21,0.5,AOB,68280.31543,4.834295519
136660,21,0.5,Nitrospira,1062275.741,6.026237264
168786,60,160,AOB,22268469.23,7.347690364
168786,60,160,Nitrospira,1619707.796,6.209436673
168787,60,5,AOB,27174731.99,7.43416527
168787,60,5,Nitrospira,993572.9616,5.997199764
168789,60,54,AOB,18428095.23,7.265480448
168789,60,54,Nitrospira,1002247.024,6.000974775
168790,60,36,AOB,10744689.05,7.031193852
168790,60,36,Nitrospira,1077376.288,6.032367413
168791,60,180,AOB,41077409.91,7.613603052
168791,60,180,Nitrospira,1788934.999,6.252594561
168792,60,120,AOB,73464497.03,7.86607751
