Sample,Treatment,Temperature,Weeks,Nitrifier,copies
N7_10,DAP,7,3,AOB,6.148340093
N7_10,DAP,7,3,Nitrospira,6.485294639
N7_10,DAP,7,3,Nitrobacter,5.330931926
N7_29,DAP,7,3,AOB,5.797419934
N7_29,DAP,7,3,Nitrospira,6.354968259
N7_29,DAP,7,3,Nitrobacter,5.133823878
N7_30,DAP,7,3,AOB,6.015843329
N7_30,DAP,7,3,Nitrospira,6.609491207
N7_30,DAP,7,3,Nitrobacter,5.363221978
N7_24,DAP,7,6,AOB,6.510873183
N7_24,DAP,7,6,Nitrospira,6.389677388
N7_24,DAP,7,6,Nitrobacter,5.367256913
N7_28,DAP,7,6,AOB,6.795822326
N7_28,DAP,7,6,Nitrospira,6.511483186
N7_28,DAP,7,6,Nitrobacter,5.311053192
N7_36,DAP,7,6,AOB,6.213135168
N7_36,DAP,7,6,Nitrospira,6.315261306
N7_36,DAP,7,6,Nitrobacter,5.221676506
N7_23,DAP,7,9,AOB,6.463005279
N7_23,DAP,7,9,Nitrospira,5.830298005
N7_23,DAP,7,9,Nitrobacter,4.397968688
N7_27,DAP,7,9,AOB,5.972629065
N7_27,DAP,7,9,Nitrospira,5.963877852
N7_27,DAP,7,9,Nitrobacter,4.783392863
N7_37,DAP,7,9,AOB,6.595264681
N7_37,DAP,7,9,Nitrospira,5.76202647
N7_37,DAP,7,9,Nitrobacter,4.503970836
N15_19,DAP,15,3,AOB,6.56725683
N15_19,DAP,15,3,Nitrospira,6.457382088
N15_19,DAP,15,3,Nitrobacter,5.386509798
N15_22,DAP,15,3,AOB,6.438181553
N15_22,DAP,15,3,Nitrospira,6.427115082
N15_22,DAP,15,3,Nitrobacter,5.536399078
N15_6,DAP,15,3,AOB,6.540832194
N15_6,DAP,15,3,Nitrospira,6.313504841
N15_6,DAP,15,3,Nitrobacter,5.308052817
N15_12,DAP,15,6,AOB,7.645464838
N15_12,DAP,15,6,Nitrospira,6.697035159
N15_12,DAP,15,6,Nitrobacter,6.048170127
N15_27,DAP,15,6,AOB,7.676497675
N15_27,DAP,15,6,Nitrospira,6.591649478
N15_27,DAP,15,6,Nitrobacter,5.826364939
N15_28,DAP,15,6,AOB,7.613908126
N15_28,DAP,15,6,Nitrospira,6.730546195
N15_28,DAP,15,6,Nitrobacter,6.279149623
N15_21,DAP,15,9,AOB,7.672357229
N15_21,DAP,15,9,Nitrospira,6.747159032
N15_21,DAP,15,9,Nitrobacter,6.081512906
N15_29,DAP,15,9,AOB,7.911616457
N15_29,DAP,15,9,Nitrospira,6.693600576
N15_29,DAP,15,9,Nitrobacter,6.157538145
N15_30,DAP,15,9,AOB,7.907991869
N15_30,DAP,15,9,Nitrospira,6.731506308
N15_30,DAP,15,9,Nitrobacter,6.146359939
N7_16,Urea,7,3,AOB,6.118767574
N7_16,Urea,7,3,Nitrospira,6.316146115
N7_16,Urea,7,3,Nitrobacter,5.106349288
N7_17,Urea,7,3,AOB,5.995652747
N7_17,Urea,7,3,Nitrospira,6.2964545
N7_17,Urea,7,3,Nitrobacter,5.097239249
N7_34,Urea,7,3,AOB,6.01433067
N7_34,Urea,7,3,Nitrospira,6.424891055
N7_34,Urea,7,3,Nitrobacter,5.085220305
N7_11,Urea,7,6,AOB,6.492208182
N7_11,Urea,7,6,Nitrospira,6.512215245
N7_11,Urea,7,6,Nitrobacter,5.241492229
N7_33,Urea,7,6,AOB,6.211802968
N7_33,Urea,7,6,Nitrospira,6.545760837
N7_33,Urea,7,6,Nitrobacter,5.465004744
N7_38,Urea,7,6,AOB,6.185964169
N7_38,Urea,7,6,Nitrospira,6.340551359
N7_38,Urea,7,6,Nitrobacter,5.315427534
