Unique_genetic_barco.1e,Months_since_start_of_biopile,DMF,Conductivity_soil_uS_cm_water,pH_soil_water,mg_N_NO2_soil_water_ex,mg_N_NO3_soil_water_ex,mg_N_NH4_soil_water_ex,Depth_m,Dist_from_East_(centre),Total_area_in_range_C8_to_C10_(NEPM_2017),Total_area_in_range_>C10_to_C16_(NEPM_2017),Total_area_in_range_>C16_to_C34_(NEPM_2017),Total_area_in_range_>C34_to_C40_(NEPM_2017),Total_area_in_range_>C10_to_C40_(total),AOB26_log10_copies/g,Nspra_log10_copies/g,ratio_Ntspra:AOB26
116716,0,0.940817055,28.58,6.61,1,1,1,0,3,11.02318189,967.608997,135.1292027,16.17184215,1118.910042,5.094571394,6.02303664,8.48135509
116043,0,0.920973939,23.81,6.58,1,1,1,0.5,3,15.47969339,1075.03225,104.2615266,11.43582882,1190.729606,5.362013185,5.935104533,3.741892858
116731,0,0.951122269,28.2,6.49,1,1,1,1,3,1.87572267,835.2709094,160.0848078,33.24020773,1028.595925,5.234884346,6.11181565,7.532364098
116042,0,0.923802825,23.25,7.94,1,1,1,0,9,26.89390338,1627.713081,169.8990356,26.07494952,1823.687066,4.999674691,6.068796966,11.72525444
116735,0,0.941585512,29.2,7.65,1,1,1,1,6,11.31077423,983.6430867,180.0178721,40.58709741,1204.248056,5.23571624,5.988013459,5.653237352
116045,0,0.936650984,23.7,7.09,1,1,1,1,9,12.50496155,1123.958338,129.7313484,19.0285687,1272.718255,4.930441763,5.928042507,9.944907418
116676,0,0.922886237,23.79,6.58,1,1,1,0,21,44.27641451,2395.816423,137.1773275,13.42593544,2546.419686,3.998959879,5.650439237,44.82077456
116708,0,0.919519459,25.98,6.55,1,1,1,1,12,38.03923316,1862.74781,231.3469374,42.68513588,2136.779883,5.094635274,6.251835795,14.36152377
116665,0,0.942072001,39.5,6.57,1,1,1,0.5,12,16.45063407,1555.368383,229.7865308,33.08553324,1818.240447,4.835778141,6.132630624,19.80854072
116714,0,0.930390818,27.38,6.65,1,1,1,0.5,15,13.05148151,1427.613987,137.7014862,16.38029198,1581.695765,5.145936359,6.131822949,9.680250379
116709,0,0.92374281,23.35,6.64,1,1,1,0.5,18,37.21593019,2482.280311,168.0120356,16.46062099,2666.752968,5.301461705,6.121515272,6.607749441
