,NR,amoA_A,amoA_B,amoB_A,amoB_B,amoC_A,amoC_B,ansB,asnB,gdh_K00260,gdh_K00261,gdh_K00262,gdh_K15371,glnA,glsA,gs_K00264,gs_K00265,gs_K00266,gs_K00284,hao,hcp,hzo,hzsA,hzsB,nao,napA,napB,napC,narB,narC,narG,narH,narI,narJ,narV,narW,narY,narZ,nasA,nasB,nifD,nifH,nifK,nifW,nirA,nirB,nirD,nirK,nirS,nmo,norB,norC,nosZ,nrfA,nrfC,nrfD,nxrA,nxrB,pmoA,pmoB,pmoC,ureA,ureB,ureC,DMF,Conductivity (uS/cm),pH,Total C (mg C/kg DMB),Total N (mg N/kg DMB),Total P (mg P/kg DMB),Cl_Water_ppm,NO2_Water_ppm,Br_Water_ppm,NO3_Water_ppm,PO4_Water_ppm,SO4_Water_ppm,K (mg/kg),Ca (mg/kg),Mg (mg/kg),Zn (mg/kg),B (mg/kg),S (mg/kg),Cu (mg/kg),Fe (mg/kg),Mn (mg/kg),Na (mg/kg),Al (mg/kg),CECe (meq/100g),Ca (meq/100g),Mg (meq/100g),K (meq/100g),Na (meq/100g),%CEC Ca,%CEC Mg,%CEC K,%CEC ,Mud %,Sand %,Gravel %,Minimum (um),Maximum (um),Mean (µm),Quartile Deviation (PQD),Sorting Coeff (So),Graphic Skewness,IGS,Kurtosis,SiO2 (%),TiO2 (%),Al2O3 (%),Fe2O3 (%),MnO (%),MgO (%),CaO (%),2O (%),K2O (%),P2O5 (%),SO3 (%),Cl (ppm)
AF/T3/102,1019,0,0,0,0,4,1,524,9041,350,4791,1107,4502,11333,1091,350,7558,5476,1899,15,0,0,0,2,11,580,4,13,954,1418,520,120,129,82,1,0,204,222,2269,101,0,29,0,0,1453,1512,637,2205,202,5314,387,102,903,198,1319,0,0,18,0,2,0,151,178,896,0.983216394,533,7.8,550.7,71,780,276.4846746,0,0,0.892260058,0,782.9203933,38.363,438.272,50.996,0.284,1.591,271.839,1.419,157.747,1.641,259.435,63.618,26.233,2.186,0.419,0.098,1.128,8.336,1.599,0.374,4.301,2.672246293,92.91283341,4.414920293,25.56847632,1183.05734,398.231569,0.924225,0.52699716,-0.209320507,-0.278225558,1.226550468,63.646,0.815,13.616,8.017,0.128,4.129,5.208,3.261,1.377,0.164,0.072,634
AF/T3/2,1139,0,5,0,8,4,4,402,10598,272,3222,612,6431,12256,754,275,8854,4839,1390,22,1,4,0,0,12,644,1,7,1151,1564,195,81,62,49,0,0,50,193,4720,740,0,19,0,0,2284,4594,897,1563,168,4564,161,24,420,200,872,1,0,11,0,2,0,344,236,1817,0.976106826,1230,8.9,1730,190,1600,0,0,1.284875215,2.981312022,1.93735091,487.9263439,101.639,407.704,142.974,0.857,2.721,155.281,5.614,187.411,11.349,1180.27,89.033,31.005,2.034,1.176,0.26,5.133,6.561,3.795,0.838,16.558,10.98752401,81.9086205,7.103855494,10.39310109,946.6939451,231.4903708,1.31295,0.402533519,-0.031911473,-0.095082204,1.015920225,61.444,0.961,14.11,8.506,0.12,4.167,5.332,3.452,1.646,0.282,0.076,2652
AF/T3/202,1069,0,1,0,7,0,4,431,10859,370,4646,503,4378,11741,1331,519,8923,4861,2165,7,0,0,0,0,9,408,3,2,1534,2177,137,46,46,30,0,0,46,136,3806,144,0,19,0,0,1972,2308,935,1604,251,4015,127,19,208,57,1123,0,0,2,1,0,0,403,385,1946,0.99409151,230,6.6,814,84,730,214.3351063,0,0,0.75889514,0,137.4605363,48.812,120.49,77.477,0.712,1.448,34.542,3.645,137.333,4.6,188.697,70.975,24.584,0.601,0.637,0.124,0.82,2.445,2.593,0.507,3.338,3.320899669,87.77587489,8.903225439,15.3972872,1343.596554,391.7887948,1.35407,0.391223496,-0.223439081,-0.261073997,0.975698401,64.87,0.666,14.284,6.481,0.1009,3.535,4.991,3.533,1.531,0.1762,0.017,608
BP/T3/102,789,10,0,4,0,26,0,522,9782,266,4017,392,3575,11261,465,144,5296,4724,2064,14,0,0,0,0,39,701,1,7,929,921,625,272,212,207,0,0,206,428,2810,155,23,183,7,1,1095,1148,684,1960,166,5225,1146,89,777,115,1384,0,0,20,0,4,0,264,255,1516,0.904742261,56.4,6.52,2100,120,680,65.18033053,0.075,0.075,0.898251852,1.260530223,11.77156571,46.2,102.3,105.5,1.16,0.4,8.9,2.19,124.54,17.03,64.3,180.6,1.78,0.51,0.87,0.12,0.28,23.9,40.8,5.5,13.1,1.956409986,70.2507828,15.09915448,23.78028804,885.6263179,254.6703535,1.188965,0.438653435,-0.089009308,-0.181892003,1.105957427,28.649,0.599,87.435,4.371,0.0938,1.16,2.97,2.879,2.789,0.1627,0.009,121
BP/T3/2,814,6,2,8,1,23,8,485,8623,241,3835,493,3442,10579,563,133,5664,5255,1846,26,2,0,0,0,44,496,2,8,1033,917,1018,336,303,291,1,0,312,610,2397,77,20,148,4,1,1078,780,673,2232,187,5473,1430,100,1068,51,1293,0,0,29,1,3,1,225,224,1383,0.908120575,36.6,6.64,1200,110,610,36.75737641,0.075,0.075,1.388300145,1.197847418,9.47752915,45.3,102,93.8,0.45,0.32,7.1,1.66,100.58,15.89,58.8,193.26,1.67,0.51,0.78,0.12,0.26,26.3,40,6,13.2,1.521860609,71.70050081,22.9353666,4.775375845,1203.052832,408.6359464,1.267915,0.415295844,-0.255930094,-0.398752892,1.321242639,33.074,1.076,86.739,6.728,0.129,1.55,3.324,2.771,2.955,0.205,0.019,85
BP/T3/202,826,14,0,12,0,20,2,379,9106,267,3702,516,2769,9600,416,119,5404,4966,1763,24,3,0,0,0,43,461,2,4,1077,873,660,212,155,161,2,0,177,233,2205,55,11,123,0,1,1145,671,641,1745,174,5099,1101,81,850,58,1415,0,0,45,0,2,1,209,206,1260,0.872642164,16.3,6.6,2000,150,920,13.6157513,0.075,0.075,0.955660673,0.979793518,4.474229513,55.2,112.1,113.4,1.09,0.1,8.8,2.12,167.99,18.35,16.5,340.7,1.71,0.56,0.94,0.14,0.07,28,46.8,7,3.6,1.308961453,76.75800627,20.30632242,13.56403291,1326.854338,505.2523025,1.000575,0.499835301,-0.265228161,-0.328515178,1.059550594,32.8255,1.1085,86.7295,6.814,0.1243,1.437,3.39,2.861,3.042,0.2023,0.017,170
HI/T1/0,975,4,0,2,0,8,0,724,9422,188,3278,590,6803,11515,447,198,7641,4983,960,22,0,0,0,0,37,816,2,1,709,1300,199,59,57,41,0,0,65,147,4338,829,17,40,9,2,2019,4203,899,1738,145,5179,486,42,504,181,998,0,0,1,0,1,1,278,253,1888,0.9484816,173.6,6.18,1800,410,1300,208.7436431,0.075,0.303558353,1.303808007,2.284152196,35.72533468,117.4,80.7,79.2,1,1.01,19.1,3.45,76.19,2.8,334.8,183.84,2.81,0.4,0.65,0.3,1.46,10.8,17.5,8,38.9,1.321973284,70.37883237,26.56701515,29.81991592,1059.357841,346.9207132,1.16727,0.44529901,-0.116930811,-0.165444556,0.904234372,36.177,1.161,86.043,7.01,0.1329,1.855,4.049,2.96,3.101,0.3008,0.032,133
HI/T1/200,1185,1,1,0,0,4,0,424,9531,247,3310,411,6356,12945,449,256,8691,5520,982,6,0,0,0,0,29,527,0,0,930,1449,144,48,60,45,1,0,55,136,3410,562,0,8,0,0,2004,3610,892,1323,114,4723,447,28,287,19,997,0,0,2,0,0,1,336,252,1809,0.939089525,115.9,6.555,400,90,1600,112.3609904,0.075,0.075,0.38,6.708736788,36.4854788,90.8,305.7,45.2,2.62,0.1,20.7,2.57,251.61,2.17,177.2,243.45,2.9,1.53,0.37,0.23,0.77,43.8,10.7,6.7,22.1,1.607976811,78.7051645,14.60956283,29.76333499,1035.487401,371.1262145,1.08345,0.471934308,-0.22053764,-0.27075005,0.968489018,35.341,0.916,86.255,6.689,0.1385,2.578,4.797,2.915,3.1,0.4449,0.054,346
MP/T2/102,1066,2,12,0,0,5,0,283,6645,248,3917,331,2258,10271,288,194,7032,4712,1112,14,0,0,0,0,105,402,0,2,1145,1275,550,115,247,118,2,0,223,322,2326,117,0,43,0,0,962,2041,892,698,134,4098,461,18,328,0,1101,0,3,10,23,65,54,220,200,1341,0.962826246,31.1,5.3,1326.953766,29.9,23.8,28.76090884,0.075,0.075,0.38,0.075,9.973302452,0.45,0.1,17.7,0.98,80.72,1.5,27.9,309.63,1.54,0.39712023,0.07,0.06,0.12,0.01712023,18,34.4,31.8,290,520,2259,1.224040407,66.26030877,31.4948635,51.72910353,1185.659703,414.802761,1.057,0.480665554,-0.134879526,-0.161041278,0.876004234,31.059,0.455,86.084,4.931,0.1353,1.699,2.566,3.128,3.206,0.1486,0.054,38
MP/T2/2,1035,3,0,2,0,9,0,446,8413,236,3141,513,3728,11008,230,183,7226,4788,665,3,1,0,0,0,136,331,0,0,1293,1848,1576,446,648,335,2,0,803,1203,2156,102,1,21,0,0,1441,2302,809,1177,140,4108,551,18,592,0,1042,0,0,8,0,6,0,257,222,1356,0.977604806,57.2,6.8,275,25.1,23.4,62.06134067,0.075,0.075,0.38,0.075,27.69646838,0.45,0.1,18.9,3.08,106.89,0.65,59.1,177.9,1.645,0.63,0.11,0.06,0.26,0,15.9,28.9,37.4,120,2600,1087,0.65572773,70.8144161,29.00070208,77.35294341,1454.829414,655.4478307,0.676695,0.625626023,-0.250524595,-0.336928275,1.281920603,39.404,0.713,85.879,11.877,1.0328,2.275,3.158,2.172,2.501,0.8301,0.224,131
