Sample,Weeks,AOB26log10,Nspralog10,norAlog10,norA:AOB,norA:AOB,(Ntspr+norA)/AOB,Nitrite,Ammonia,FA,FNA
N7_10,3,6.148340093,6.485294639,5.330931926,0.86705222,0.152262106,2.324735899,-0.217292291,70.55401225,0.056688701,-0.000146037
N7_29,3,5.797419934,6.354968259,5.133823878,0.885535969,0.216972126,3.827313973,0.032815994,75.07245867,0.083238207,1.59773E-05
N7_30,3,6.015843329,6.609491207,5.363221978,0.891516232,0.222524918,4.145792033,-0.019784237,85.4244291,0.078796183,-1.15808E-05
N7_24,6,6.510873183,6.389677388,5.367256913,0.824352857,0.071842879,0.828334645,-0.119644299,80.91227685,0.025894009,-0.000201981
N7_28,6,6.795822326,6.511483186,5.311053192,0.78151737,0.032751475,0.552341566,-0.084755187,56.66097776,0.015434396,-0.000168107
N7_36,6,6.213135168,6.315261306,5.221676506,0.840425383,0.101986183,1.367089917,-0.118451554,73.28368269,0.007418006,-0.000632353
N7_23,9,6.463005279,5.830298005,4.397968688,0.680483536,0.008609212,0.241575311,0.041207947,57.01288634,0.029584994,4.28943E-05
N7_27,9,5.972629065,5.963877852,4.783392863,0.800885642,0.064679075,1.044730323,-0.168933911,42.55387208,0.012709639,-0.000305588
N7_37,9,6.595264681,5.76202647,4.503970836,0.682909793,0.008104125,0.154916205,-0.150220872,60.83141052,0.022350753,-0.000220876
N15_19,3,6.56725683,6.457382088,5.386509798,0.820206966,0.065955796,0.842426828,0.018769554,71.37189298,0.093073032,1.15286E-05
N15_22,3,6.438181553,6.427115082,5.536399078,0.859932115,0.125376899,1.100217322,-0.101712879,50.09151509,0.086075709,-4.73914E-05
N15_6,3,6.540832194,6.313504841,5.308052817,0.811525607,0.058508724,0.650987294,-0.206529344,53.71834722,0.063895331,-0.000139093
N15_12,6,7.645464838,6.697035159,6.048170127,0.791079451,0.025275822,0.137884101,0.0624975,54.45133508,0.00633609,0.000430712
N15_27,6,7.676497675,6.591649478,5.826364939,0.758987391,0.014121059,0.09637407,0.128448297,56.73361466,0.005619023,0.001040045
N15_28,6,7.613908126,6.730546195,6.279149623,0.824694693,0.046263821,0.177072955,0.063912515,55.82359384,0.005924273,0.000482959
N15_21,9,7.672357229,6.747159032,6.081512906,0.79265247,0.025654035,0.144450031,0.196204404,74.72940382,0.002235331,0.005260569
N15_29,9,7.911616457,6.693600576,6.157538145,0.77829078,0.017616584,0.078148457,0.174881907,56.82262219,0.009779348,0.000814833
N15_30,9,7.907991869,6.731506308,6.146359939,0.777233973,0.01731283,0.083918997,0.130473944,45.15443821,0.013817545,0.00034186
N7_16,3,6.118767574,6.316146115,5.106349288,0.834538855,0.097181078,1.672536463,-0.173882395,11.37051893,0.012320642,-8.66312E-05
N7_17,3,5.995652747,6.2964545,5.097239249,0.850155848,0.126353274,2.125302453,-0.166459257,11.85072562,0.020338683,-5.23271E-05
N7_34,3,6.01433067,6.424891055,5.085220305,0.845517246,0.117730675,2.691445269,0.051850332,11.30575576,0.002808766,0.000112764
N7_11,6,6.492208182,6.512215245,5.241492229,0.807351225,0.056141505,1.103287082,0.035048831,26.6611,0.097635688,5.15338E-06
N7_33,6,6.211802968,6.545760837,5.465004744,0.879777542,0.179143797,2.33667889,-0.051527072,15.97204257,0.026788927,-1.6575E-05
N7_38,6,6.185964169,6.340551359,5.315427534,0.85927228,0.134729707,1.562266102,-0.047162685,16.86226948,0.005522016,-7.78068E-05
N7_18,9,6.50041302,5.810065178,4.393162584,0.675828224,0.007811772,0.211822102,2.586803959,31.22179254,0.062936904,0.000692122
N7_26,9,6.317296478,5.906412267,4.563703703,0.722414045,0.01763629,0.405890155,1.92818072,30.98430598,0.013685913,0.002358124
N7_35,9,6.405118416,5.842432975,4.704873804,0.734549074,0.019941388,0.293666448,1.231192865,28.63750729,0.013553564,0.001405222
N15_1,3,6.391575348,6.501983614,5.68501081,0.889453773,0.19653299,1.485994155,0.110659658,19.73708488,0.011773003,0.000148701
N15_20,3,6.449103032,6.42881278,5.530553718,0.857569446,0.120628711,1.07498326,0.201973664,22.02596973,0.052211684,6.8174E-05
N15_23,3,6.394371382,6.393976979,5.497387287,0.859722865,0.126769829,1.125862096,0.229935065,19.97098061,0.074925618,4.89699E-05
N15_2,6,7.413298477,6.719509119,6.291062854,0.848618584,0.075468267,0.277868329,0.222298676,45.85088823,0.004865921,0.001679813
N15_26,6,7.537008934,6.689094097,6.299311362,0.835783985,0.057849875,0.199783457,0.23344563,56.00912344,0.062178428,0.000168465
N15_3,6,7.391645053,6.759446984,6.202491729,0.839121966,0.064691419,0.297930827,0.231122265,40.26436239,0.05014677,0.00014865
N15_10,9,6.682321637,5.96060533,5.378795376,0.804929135,0.049713431,0.239507962,0.264831489,64.12958162,0.005283065,0.002578063
N15_15,9,6.684025871,5.96272063,5.158128114,0.771709777,0.029792177,0.219766436,0.176497239,66.80846127,0.004577887,0.002065675
N15_16,9,6.576140711,5.90885341,5.248607502,0.798128832,0.047039943,0.26217575,0.1423354,79.50659806,0.006858499,0.001323235
N7_12,0,5.442761284,6.053860438,4.373695851,0.803580319,0.085297159,4.169423371,-0.016505109,-0.579345987,-0.000181187,-2.85126E-05
N7_20,0,5.307164394,5.87414064,3.790552808,0.714233162,0.030436059,3.72001024,-0.097271344,-0.525787661,-3.51646E-05,-0.000785966
N7_7,0,5.143929983,5.92369107,3.814945627,0.741640271,0.046883027,6.069165012,-0.198533714,-0.735424501,-0.000258053,-0.00030567
N7_15,3,6.088574758,6.355324392,5.244977637,0.86144588,0.143351711,1.991554554,0.036213784,-0.560163132,-3.26297E-05,0.000335964
N7_2,3,6.046918994,6.457469311,5.251223382,0.868413053,0.160067952,2.733722884,-0.00448608,-0.799041238,-5.72614E-05,-3.38288E-05
N7_39,3,5.971456381,6.457697516,5.332908968,0.893066721,0.229854275,3.293518287,0.036427049,-0.708630937,-0.000484671,2.87636E-05
N7_13,6,6.311107768,6.892867361,5.507293534,0.872635001,0.157103466,3.974432478,-0.208125567,-0.597927826,-5.51992E-05,-0.001218272
N7_25,6,6.000316321,6.432520142,5.305661333,0.884230272,0.201997043,2.907224715,-0.206517688,-0.504147845,-5.46808E-05,-0.001028907
N7_9,6,6.096956073,6.498320863,5.217936395,0.85582647,0.132123577,2.65191614,-0.11052568,-0.587510179,-1.39421E-05,-0.002516994
N7_19,9,5.38792246,5.828882434,4.134963075,0.767450368,0.055852243,2.816175691,-0.201059453,-0.643992909,-3.92806E-05,-0.001781326
N7_22,9,5.609291232,6.061361952,4.471930536,0.797236291,0.072885192,2.904738285,0.033302165,-0.721322721,-4.60708E-05,0.000281768
N7_6,9,5.503810954,5.67635046,4.290874095,0.779618728,0.061243943,1.549026648,0.036651884,-0.688156047,-0.000200856,6.78446E-05
N15_17,3,6.083138111,6.463130251,5.520020101,0.907429685,0.273452558,2.672242059,-0.105261669,-0.531008983,-3.72336E-05,-0.001203911
N15_18,3,6.011330234,6.441541391,5.329465964,0.886570153,0.208034676,2.90087844,-0.031881184,-0.75763134,-0.000568847,-3.40297E-05
N15_9,3,6.019005333,6.468388519,5.376156067,0.893196761,0.227588721,3.04197164,-0.113394387,-0.797581406,-0.000906035,-7.99679E-05
N15_13,6,6.43315598,6.762686209,5.467918135,0.849958893,0.108333345,2.243984075,0.099159921,-0.989143305,-0.000389898,0.000201679
N15_31,6,6.328352712,6.694403772,5.646491374,0.89225295,0.20803608,2.531045981,0.093388017,-0.966500436,-0.00025174,0.000287485
N15_7,6,6.325849137,6.658425235,5.614461456,0.887542737,0.194362429,2.345043921,0.041825604,-0.576237406,-0.000176332,0.000109589
N15_25,9,6.181684965,6.641998103,5.702712764,0.922517533,0.331915702,3.218027416,0.105580519,-0.44104827,-3.39091E-05,0.001101305
N15_4,9,6.541819992,6.621404357,5.652232106,0.86401523,0.128947259,1.330061636,0.124976566,-0.645286136,-0.000441894,0.000146269
N15_8,9,6.247233939,6.682327331,5.708774896,0.913808407,0.289428275,3.01271514,0.044912349,-0.535808342,-0.000272052,7.09071E-05
