Sample,NR,amoA_A,amoA_B,amoB_A,amoB_B,amoC_A,amoC_B,ansB,asnB,gdh_K00260,gdh_K00261,gdh_K00262,gdh_K15371,glnA,glsA,gs_K00264,gs_K00265,gs_K00266,gs_K00284,hao,hcp,hzo,hzsB,nao,napA,napB,napC,narB,narC,narG,narH,narI,narJ,narV,narW,narY,narZ,nasA,nasB,nifD,nifH,nifK,nifW,nirA,nirB,nirD,nirK,nirS,nmo,norB,norC,nosZ,nrfA,nrfC,nrfD,nxrA,nxrB,pmoA,pmoB,pmoC,ureA,ureB,ureC
AF/T3/102,763,0,0,0,0,4,0,406,6813,254,3626,813,3489,8554,842,242,5729,4159,1391,17,0,0,2,5,414,2,8,742,1043,398,84,92,68,1,0,150,166,1733,89,0,18,0,0,1124,1124,457,1697,157,3976,297,72,672,151,1003,0,0,13,0,4,0,116,154,667
AF/T3/2,854,0,4,0,5,5,5,323,7956,212,2441,439,4967,9193,576,221,6578,3684,999,17,1,2,0,8,470,2,2,857,1221,161,59,55,37,0,0,29,150,3614,589,0,22,0,0,1752,3450,742,1203,119,3553,131,16,325,156,675,1,0,3,0,3,0,266,181,1374
AF/T3/202,780,0,0,0,5,0,2,331,8038,258,3518,387,3298,8927,978,402,6807,3627,1692,5,0,1,0,6,304,0,2,1155,1631,93,37,42,29,0,0,28,105,2933,106,0,16,0,0,1516,1742,713,1161,193,3069,96,16,151,45,797,0,0,2,1,1,0,327,308,1483
BP/T3/102,606,4,0,6,1,26,0,416,7555,218,3040,314,2726,8617,367,109,4063,3659,1530,12,0,0,0,32,536,1,4,717,683,461,206,148,143,0,0,145,321,2139,122,15,137,5,1,805,910,503,1481,120,3958,889,60,572,77,1043,0,0,17,0,4,0,205,178,1111
BP/T3/2,629,4,2,4,4,20,5,382,6444,178,2889,354,2655,7915,434,100,4240,3928,1444,21,3,0,0,38,371,1,5,785,712,736,262,219,215,0,0,228,462,1808,52,16,101,2,0,768,565,507,1688,147,4175,1076,69,780,34,974,0,0,19,0,2,0,158,178,1054
BP/T3/202,651,5,0,10,0,21,1,301,6894,203,2805,384,2100,7209,316,91,4009,3796,1346,23,2,0,0,30,332,2,3,817,693,499,148,113,135,1,0,124,184,1636,41,6,88,0,1,838,498,502,1310,138,3820,839,57,616,43,1076,0,0,38,0,2,0,156,156,971
HI/T1/0,704,5,0,1,0,8,0,562,7055,143,2534,450,5202,8718,365,152,5758,3672,690,11,0,0,0,30,607,0,2,570,973,142,42,46,33,0,0,38,129,3323,620,16,33,5,2,1526,3093,660,1261,101,3816,335,46,374,119,748,0,0,1,0,1,0,236,188,1406
HI/T1/100,654,5,2,3,1,6,6,396,7175,126,2121,399,5146,8923,489,181,6228,3604,671,9,0,0,0,27,312,0,0,614,1044,210,57,70,49,0,0,83,136,3117,562,10,29,5,1,1502,3319,725,1195,112,3624,325,57,260,65,680,0,0,3,0,2,0,202,217,1440
HI/T1/200,897,2,0,1,0,3,0,305,6962,160,2378,314,4866,9882,353,209,6620,4191,758,4,2,0,0,23,368,1,1,714,1044,130,30,57,34,1,0,35,100,2589,424,0,4,0,0,1490,2706,700,991,95,3472,323,22,231,20,740,0,0,4,0,0,1,258,199,1348
MP/T2/102,834,0,14,0,0,3,0,194,5036,215,3002,259,1696,7707,236,170,5368,3599,827,10,0,0,0,70,328,0,1,834,940,446,70,198,78,0,0,170,241,1757,82,0,31,0,0,703,1517,703,512,108,3127,339,12,248,0,856,0,3,8,28,37,32,188,133,970
