Biopile,Months,Nitrite,Nitrate,Phosphorous,Ammonium
3,0.1,0.045731707,0.998033019,8.640434282,2.370341033
3,0.1,2.56,0.759570652,5.916377485,4.458275901
3,0.1,0.045731707,0.500228276,6.303001334,2.933459709
3,0.1,0.778964798,1.067922675,8.581904309,3.09644725
3,0.1,0.045731707,0.451688638,8.381883837,2.042093986
3,0.1,0.045731707,0.56383955,7.601175778,0.59672522
3,0.1,0.045731707,0.512605099,7.837849626,0.78735643
3,0.1,0.045731707,0.817165873,9.040743694,2.10306924
3,0.1,0.045731707,0.797859051,9.674616887,1.734210001
3,0.1,0.741950585,0.561441986,7.849409594,2.264891127
3,0.1,0.763714422,0.967921564,9.161784872,2.710235276
3,0.1,0.045731707,0.596742979,8.222227823,2.229058029
3,0.1,0.045731707,0.829382166,8.795887934,2.710084169
3,0.1,0.045731707,1.144856032,7.840836275,2.315348032
3,0.1,0.045731707,0.725211928,8.842950769,2.532366691
3,8.526027397,0.045731707,136.52,206.4502233,150.34
3,8.526027397,0.045731707,370.61,253.7661493,168.82
3,8.526027397,0.045731707,180.94,194.2224849,105.36
3,8.526027397,0.420731707,0.7,6.522344318,2.92
3,8.526027397,0.408536585,5.18,9.387904373,10.46
3,8.526027397,0.405487805,0.67,6.271528455,2.26
3,8.526027397,0.423780488,10.9,17.11012973,80.05
3,8.526027397,0.045731707,66.47,27.7470241,96.17
3,8.526027397,0.399390244,1.79,6.435207669,6.52
3,8.526027397,0.414634146,29.57,13.90868726,24.6
3,8.526027397,0.417682927,77.54,33.70786587,30.6
3,9.97260274,0.408536585,28.02,31.73549879,0.43
3,9.97260274,0.045731707,2.62,6.624192016,5.67
3,9.97260274,0.045731707,38.37,42.19275568,100.04
3,9.97260274,0.045731707,3.07,6.095589089,5.36
3,9.97260274,0.432926829,56.14,62.2057314,297.35
3,9.97260274,0.045731707,2.69,7.283111547,7.78
3,9.97260274,0.045731707,2.47,5.709029873,17.77
3,9.97260274,0.423780488,331.39,413.2751756,572.52
3,11.66886606,0.62804878,58.77,37.98,173.25
3,11.66886606,0.457317073,50.51,26.85,177.79
3,20.46027397,1,66,67,370
3,20.46027397,1,54,70,470
3,20.46027397,1,57,87,450
3,20.46027397,1,57,100,490
3,20.46027397,1,120,35,250
3,20.46027397,1,68,41,210
3,20.46027397,1,33,27,120
3,20.46027397,1,71,92,490
3,20.46027397,1,91,99,520
3,20.46027397,1,73,62,270
3,20.46027397,1,93,82,410
3,20.46027397,1,38,21,92
3,23.25479452,1,48,54,270
3,23.25479452,1,69,40,210
3,23.25479452,1.2,35,85,510
3,23.25479452,1,55,47,220
3,23.25479452,1,78,54,290
3,23.25479452,1,55,47,290
3,23.25479452,9.6,50,25,120
3,23.25479452,1,30,26,86
3,23.25479452,1,31,32,140
3,23.25479452,1,17,23,64
3,23.26979072,1,42,26,100
3,33.77534247,2.8,82,37,200
3,33.77534247,1,37,47,200
3,33.77534247,1,47,51,220
3,33.77534247,1,53,55,280
3,33.77534247,1,48,54,240
3,33.77534247,1,51,43,190
3,33.77534247,1,63,38,220
3,33.77534247,1,51,40,200
3,33.77534247,9.5,45,31,160
3,33.77534247,4.4,59,34,190
3,44.96815068,57,62,26,180
3,44.96815068,77,65,23,190
3,44.96815068,81,56,20,170
3,44.96815068,71,52,23,170
3,44.96815068,87,60,20,180
3,44.96815068,80,62,25,200
3,44.96815068,84,68,22,210
3,44.96815068,84,65,23,200
3,44.96815068,71,62,20,180
3,44.96815068,89,62,22,190
3,44.96815068,83,56,22,180
3,44.96815068,74,56,21,180
3,45.20152778,84,58,22,180
4,0.1,0.764792878,0.937472122,8.177559063,2.677044376
4,0.1,0.74830287,1.091916155,9.109685024,2.512769941
4,0.1,0.768689161,0.556123794,7.539188845,3.10518131
4,0.1,0.045731707,0.435719466,7.507558248,2.389120844
4,0.1,0.755041293,0.528224672,7.610129572,2.235013301
4,0.1,0.761828708,0.989449583,7.506984153,2.940439333
4,0.1,0.742032568,0.707274764,7.507814151,2.359847301
4,0.1,0.747682688,0.456180859,8.257331351,2.581660892
4,0.1,0.045731707,0.408423364,8.264220295,2.150201276
4,0.1,0.752616765,0.522505104,8.115088588,2.878249787
4,0.1,0.724682299,0.725362358,6.742042829,1.176597862
4,0.1,0.045731707,0.612557561,8.777538244,1.510790929
4,0.1,0.045731707,0.704666996,6.571801561,0.841708193
4,8.526027397,0.045731707,0.49,4.45518803,1.44
4,8.526027397,0.432926829,58.04,29.97137698,58.03
4,8.526027397,0.045731707,55.16,38.03372505,92.01
4,8.526027397,0.045731707,23.53,27.49244519,72.67
4,8.54849277,0.31402439,20.63,15.43830003,180.115183
4,8.54849277,0.045731707,3.76,6.432971629,156.8324713
4,8.54849277,0.045731707,0.23,7.86013115,8.446003948
4,9.97260274,0.432926829,85,247.4054672,502.7
4,9.97260274,0.588414634,534.63,572.6243945,958.84
4,9.97260274,0.045731707,38.3,54.42569832,637.88
4,9.97260274,0.445121951,40.62,34.03212639,156.39
4,9.97260274,0.045731707,58.42,85.76901408,863.44
4,9.97260274,0.426829268,229.09,416.1842867,829.37
4,9.97260274,0.515243902,57.66,56.99174364,480.72
4,9.97260274,0.414634146,6.36,6.493378955,391.02
4,11.66886606,0.734756098,61.21,47.62,300.1057262
4,11.66886606,0.597560976,54.76,56.82,435.0245231
4,20.62465753,1,74,52,250
4,20.62465753,1,38,51,300
4,20.62465753,1,51,55,370
4,20.62465753,1,51,73,460
4,20.62465753,1,59,63,310
4,20.62465753,1,42,46,210
4,20.62465753,1,47,36,150
4,20.62465753,1,58,68,320
4,20.62465753,1,57,65,330
4,20.62465753,1,66,70,320
4,20.62465753,1,83,87,390
4,20.64103158,1,65,74,410
4,23.25479452,1,51,67,290
