Barcode,Months,Cut,Sample,C8toC10,C10toC16,C16toC34,C34toC40,TotalareaC10toC40
99930,9,1,D,5.291897679,715.2612531,185.492607,42.26749762,943.0213578
116031,0,Build 1.5,B,19.68947975,1444.171838,145.7718775,19.52650986,1609.470226
116032,0,Sub,B,0.073295181,3.587491038,6.881641369,1.320342002,11.78947441
116033,0,Sub,B,2.930313112,6.420798618,14.12684966,4.263123967,24.81077225
116034,0,Sub,C,0.459125649,3.582195148,12.69513341,0.824318603,17.10164716
116038,0,Build 1,B,17.54609255,1098.899692,109.5191778,15.74434573,1224.163215
116039,0,Build 1.5,B,19.68947975,1444.171838,145.7718775,19.52650986,1609.470226
116040,0,Sub,A,0.963937511,5.895305547,14.18750169,0.608530241,20.69133748
116041,0,Build 1,F,13.02541368,1174.439919,115.4380541,16.61166668,1306.48964
116042,0,Build 1.5,C,26.89390338,1627.713081,169.8990356,26.07494952,1823.687066
116043,0,Build 1,A,15.47969339,1075.03225,104.2615266,11.43582882,1190.729606
116045,0,Build 1,E,12.50496155,1123.958338,129.7313484,19.0285687,1272.718255
116617,12,2,F,7.412689055,1082.319781,244.5423104,44.60167467,1371.463766
116664,0,Build 0,K,83.55721108,2977.52773,330.8924735,53.83245216,3362.252656
116665,0,Build 1,H,16.45063407,1555.368383,229.7865308,33.08553324,1818.240447
116666,0,Build 1,D,32.71627132,1772.111869,168.3489292,26.38050132,1966.841299
116668,0,Build 1.5,E,49.60270094,2121.250819,158.8266324,22.45037886,2302.52783
116669,0,Build 1.5,D,46.19367989,2075.308601,143.9016868,21.69890097,2240.909189
116672,0,Build 1,G,39.89508217,2340.560602,304.2965543,43.53262716,2688.389783
116673,0,PL,D,81.01812664,3305.629516,184.7307558,15.35042744,3505.7107
116674,0,Build 1.5,F,60.24083977,2861.962291,151.3296174,12.37196988,3025.663878
116675,0,Build 1,C,60.67242559,2400.882612,179.1608643,24.05606555,2604.099542
116676,0,Build 1.5,G,44.27641451,2395.816423,137.1773275,13.42593544,2546.419686
116678,0,Build 1,L,28.9833456,2298.481506,151.0807462,11.32030616,2460.882558
116700,0,Build 1,I,19.73773088,1650.985571,150.8777233,18.01700573,1819.8803
116701,0,Build 1,G,39.89508217,2340.560602,304.2965543,43.53262716,2688.389783
116702,0,Build 0,J,26.83175175,1669.078101,236.141584,39.84586096,1945.065546
116703,0,PL,C,82.89421575,2745.30262,151.6131776,16.99596171,2913.911759
116704,0,PL,A,66.26394516,2677.973727,168.8895528,18.45357589,2865.316855
116706,0,PL,B,55.52630554,2075.835153,152.8421515,13.90129652,2242.578601
116708,0,Build 0,G,38.03923316,1862.74781,231.3469374,42.68513588,2136.779883
116709,0,Build 1,K,37.21593019,2482.280311,168.0120356,16.46062099,2666.752968
116712,0,Build 0,L,54.5859595,2314.852185,229.2916931,29.95301154,2574.096889
116714,0,Build 1,J,13.05148151,1427.613987,137.7014862,16.38029198,1581.695765
116715,0,Build 0,H,76.83817677,3009.423194,218.6010973,29.70082895,3257.72512
116716,0,Build 1.5,A,11.02318189,967.608997,135.1292027,16.17184215,1118.910042
116716.2,0,Build 1.5,A,6.278496394,859.0762441,112.9427335,15.43259647,987.4515741
116717,0,Build 0,F,29.05548917,1750.985477,272.621438,42.96992958,2066.576844
116721,0,Build 0,I,34.84785262,1696.364329,210.5173988,39.97525421,1946.856982
116725,0,Build 0,K,83.55721108,2977.52773,330.8924735,53.83245216,3362.252656
116729,0,Build 0,A,6.709972354,976.9683608,112.8199891,16.52529673,1106.313647
116730,0,Build 0,E,16.18624204,1322.967547,189.7443547,30.6596994,1543.371601
116731,0,Build 0,B,1.87572267,835.2709094,160.0848078,33.24020773,1028.595925
116732,0,Build 0,C,11.05764744,987.13348,173.1686277,33.65588988,1193.957998
116733,0,PL,E,86.3771439,3061.580179,165.6539819,15.20799987,3242.44216
116734,0,PL,F,64.03066664,2397.936434,143.1389589,16.85348515,2557.928878
116735,0,Build 0,D,11.31077423,983.6430867,180.0178721,40.58709741,1204.248056
123481,10,1,D,7.187275031,868.1933166,230.4123172,47.06264236,1145.668276
123839,12,1,A,7.489282593,370.9965509,118.3994857,21.64949319,511.0455299
123890,12,2,G,5.880026461,800.0472356,173.9022697,32.3994962,1006.349001
123928,12,3,N,10.7546858,1207.282996,163.5670394,33.14609337,1403.996129
133608,21,1,C,0.131073788,268.92894,95.97142097,19.60361627,384.5039772
133698,21,3,J,0.36190498,252.0087105,70.07942451,15.17374691,337.2618819
133907,24,1,A,0.750803798,220.0359642,125.2647176,18.5167624,363.8174442
133908,24,1,B,0.591502822,259.538747,120.5974248,18.0623985,398.1985703
133909,24,1,C,0.616522994,229.1572959,112.2126694,20.97727957,362.3472449
133911,24,1,D,0.556807671,254.0633718,102.613298,20.80993379,377.4866035
133912,24,2,E,1.735790129,755.7994016,199.1951361,32.9384422,987.9329799
133913,24,2,E,1.735790129,755.7994016,199.1951361,32.9384422,987.9329799
133914,24,2,F,0.618328081,678.184784,230.3902234,36.27502057,944.8500279
133915,24,2,G,3.33405988,871.5146617,177.1700523,27.29759495,1075.982309
133916,24,2,H,1.074273861,693.5357999,212.9736539,37.85488438,944.3643382
133917,24,3,J,0.250872449,314.3584837,118.8495039,20.14761098,453.3555986
133918,24,3,K,0.045081716,290.2986357,70.40141234,9.190606652,369.8906547
133919,24,3,M,0.05075603,438.6873921,123.4540743,18.03015064,580.171617
133920,24,3,N,0.495223259,679.3820939,148.2208351,24.15673279,851.7596617
133921,24,1,D,0.556807671,254.0633718,102.613298,20.80993379,377.4866035
136605,12,1,D,2.267153152,510.9849619,120.9856389,23.87363524,655.8442361
136606,12,3,N,10.7546858,1207.282996,163.5670394,33.14609337,1403.996129
136607,36,3,K,2.983597384,409.6424615,148.0475802,27.24666748,584.9367092
136610,12,2,E,10.99049184,475.395084,152.5264461,25.74379804,653.6653281
136611,36,3,M,3.424201444,408.0734264,136.2015999,25.22445792,569.4994842
136612,21,1,B,1.400722962,343.2315923,129.6736004,24.39779118,497.3029839
136615,36,2,H,2.795931563,260.0131119,156.2719379,27.16387273,443.4489225
136616,21,2,H,2.253710675,466.9902287,138.0874081,26.92933461,632.0069714
136618,12,3,M,28.09417881,2177.937657,160.5081599,12.65129995,2351.097117
136619,36,1,A,1.030064126,297.9332574,135.3843606,23.05597335,456.3735914
136620,10,2,H,5.277571665,867.0048309,128.5385338,26.60294933,1022.146314
136621,12,2,H,6.239006538,844.9130862,188.895154,37.77810526,1071.586345
136623,36,1,D,1.933157241,429.3487073,128.9810955,22.09685329,580.4266561
136624,10,2,F,11.65406608,1259.990733,152.8317297,25.69534173,1438.517804
136625,12,1,C,3.265198012,445.5997628,107.8148552,24.00107335,577.4156914
136627,36,3,N,2.575861569,346.973397,110.5215889,20.54858784,478.0435737
136628,21,3,N,1.272325462,274.6212018,84.4467643,14.68531789,373.753284
136630,12,3,J,1.999411113,531.0809743,119.8937042,25.35289338,676.3275719
136631,36,2,E,2.060106499,404.6472683,171.6000109,31.71142436,607.9587035
136632,21,1,C,0.131073788,268.92894,95.97142097,19.60361627,384.5039772
136634,12,3,K,3.120474889,866.4732129,111.2979651,12.11985565,989.8910336
136635,36,2,F,0.953810464,396.0735184,148.9513003,24.66137884,569.6861976
136636,21,3,M,1.457760266,307.4553277,78.27539825,14.36653308,400.097259
136637,12,1,B,1.07759948,697.3817222,126.839769,25.20044727,849.4219385
136640,10,3,J,4.304585631,966.4612128,156.7801437,16.7685713,1140.009928
136641,12,1,A,7.489282593,370.9965509,118.3994857,21.64949319,511.0455299
136643,36,2,G,0.25816057,313.0777277,147.127483,24.33229908,484.5375098
136644,10,2,E,6.057374145,1686.682934,180.643257,30.44376547,1897.769956
136648,21,2,F,1.113914907,332.651803,86.33794332,13.66820943,432.6579557
136649,12,2,G,5.880026461,800.0472356,173.9022697,32.3994962,1006.349001
136650,36,1,B,2.151318517,214.916315,109.6537175,21.61554744,346.1855799
136651,21,3,J,0.36190498,252.0087105,70.07942451,15.17374691,337.2618819
136652,21,2,E,1.680129586,665.3095014,69.41833142,9.444188372,744.1720212
136654,36,1,C,1.320019557,313.6114469,123.7417261,21.34622308,458.6993961
136655,21,2,G,1.729708994,304.6839992,102.4448742,20.89622643,428.0250998
136656,21,1,A,1.642535839,277.7652922,127.1121152,24.63482446,429.5122319
136658,36,3,J,2.621116548,256.7504647,111.4867465,19.40232405,387.6395352
136659,21,1,D,1.09420709,230.010993,103.1986302,21.05939459,354.2690177
136660,21,3,K,1.353499303,245.9893239,66.92724396,11.25612751,324.1726953
136661,10,1,C,7.63207987,1062.593549,164.4408938,28.91431147,1255.948754
136665,10,1,D,7.187275031,868.1933166,230.4123172,47.06264236,1145.668276
136669,10,3,M,11.32763206,911.2033152,169.8342424,26.88616258,1107.92372
136670,9,3,J,5.484107991,1481.307573,102.3891195,10.20253288,1593.899225
136674,9,1,B,2.528038945,897.455268,136.1786854,25.91731369,1059.551267
136677,10,2,G,16.52525206,2262.389552,306.4568924,41.19555167,2610.041997
136678,9,3,M,16.22237509,2268.818592,169.1134153,19.61810608,2457.550114
136681,10,3,K,5.54389089,1244.588669,156.0991744,18.54400141,1419.231845
136682,9,2,F,2.056867838,702.4483232,164.6504857,27.0314407,894.1302496
136685,10,3,N,6.28489919,911.1205158,130.2992803,22.08753809,1063.507334
136686,9,3,K,6.77549269,1008.72709,128.6812992,22.88509925,1160.293488
136689,10,1,B,1.89688346,888.7224463,135.098571,16.9294657,1040.750483
136690,9,1,D,5.291897679,715.2612531,185.492607,42.26749762,943.0213578
136693,10,1,A,0.753435059,301.5940861,83.9086678,10.26015948,395.7629134
136697,9,3,N,14.63761278,1179.305401,167.500207,33.2190897,1380.024697
136701,9,1,C,2.55450499,793.8042973,142.3374539,29.57897838,965.7207296
136705,9,2,H,5.450411754,1440.304914,202.8978229,35.10267817,1678.305415
136709,9,2,E,9.734198921,1050.78195,159.5836418,30.25163816,1240.61723
136713,9,2,G,1.010013753,602.2741436,171.230711,28.78799479,802.2928494
147564,36,2,E,2.060106499,404.6472683,171.6000109,31.71142436,607.9587035
168786,60,1,A,4,96.40596345,73.27627309,13.72370552,183.4059421
168787,60,1,B,4,179.5364344,90.19409445,16.87830362,286.6088325
168788,60,1,B,4,179.5364344,90.19409445,16.87830362,286.6088325
168789,60,1,C,4,222.0637316,82.28788321,15.69870003,320.0503148
168790,60,1,D,4,284.9983716,99.90922018,20.23477014,405.1423619
168792,60,2,F,4,182.7931518,99.06465623,19.05068484,300.9084928
168793,60,2,G,4,219.2589706,124.6150014,24.28821037,368.1621824
168794,60,2,H,4,773.3359636,188.049436,48.37734467,1009.762744
168795,60,3,J,4,116.8729828,77.85048206,14.11952924,208.842994
168796,60,3,K,4,471.864888,85.27565211,13.85248996,570.99303
168797,60,3,M,4,609.264604,189.0749772,37.46009886,835.79968
168798,60,3,N,4,855.2442979,155.227178,29.90651055,1040.377986
168799,60,PL,A,4,644.273667,92.73776938,21.11342639,758.1248628
168799,60,PL,A,4.322651988,791.1978045,125.2816741,29.49376778,945.9732464
168800,60,1,PL1,4,586.4129869,98.80359871,17.12056964,702.3371552
168801,60,PL,C Shallow,4,654.777129,127.7551094,23.42545665,805.957695
168802,60,2,PL1,5.857508342,1127.140364,97.82032069,12.79628968,1237.756974
168803,60,PL,E,4,723.8272363,82.99217847,12,817.9842459
168804,60,3,PL1,4,437.4576547,97.03058571,18.97207186,553.4603123
168805,60,PL,C Deep,13.65287268,1294.530367,99.0836928,13.45514428,1407.069204
168806,60,1,PL2,4,851.078528,71.64526028,12,932.0939266
168807,60,PL,C Deep,13.65287268,1294.530367,99.0836928,13.45514428,1407.069204
168808,60,2,PL2,17.96682006,1303.245155,107.5967314,13.53669217,1424.378579
168809,60,PL,E,4,698.0499442,78.35722915,12,786.440608
168809,60,PL,E,4,723.8272363,82.99217847,12,817.9842459
169579,60,PL,B,4,301.3677263,55.25898614,12,364.3210205
169585,60,PL,D,4,798.9844732,79.46510158,12,888.9984909
169587,60,PL,F,4,300.8937113,86.94634861,13.78810903,401.6281689
