Barcode,TPH,Nitrite,Ammonium
116031,1609.470226,1,1
116032,11.78947441,1,1
116033,24.81077225,1,1
116034,17.10164716,1,1
116038,1224.163215,1,1
116039,1609.470226,1,1
116040,20.69133748,1,1
116041,1306.48964,1,1
116042,1823.687066,1,1
116043,1190.729606,1,1
116045,1272.718255,1,1
116617,1371.463766,1,300
116664,3362.252656,1,1
116665,1818.240447,1,1
116666,1966.841299,1,1
116668,2302.52783,1,1
116669,2240.909189,1,1
116672,2688.389783,1,1
116673,3505.7107,1,1
116674,3025.663878,1,1
116675,2604.099542,1,1
116676,2546.419686,1,1
116678,2460.882558,1,1
116700,1819.8803,1,1
116701,2688.389783,1,1
116702,1945.065546,1,1
116703,2913.911759,1,1
116704,2865.316855,1,1
116706,2242.578601,1,1
116708,2136.779883,1,1
116709,2666.752968,1,1
116712,2574.096889,1,1
116714,1581.695765,1,1
116715,3257.72512,1,1
116716,1118.910042,1,1
116716.2,987.4515741,1,1
116717,2066.576844,1,1
116721,1946.856982,1,1
116725,3362.252656,1,1
116729,1106.313647,1,1
116730,1543.371601,1,1
116731,1028.595925,1,1
116732,1193.957998,1,1
116733,3242.44216,1,1
116734,2557.928878,1,1
116735,1204.248056,1,1
123481,1145.668276,1,170
123839,511.0455299,1,27
123890,1006.349001,1,220
123928,1403.996129,1,66
133698,337.2618819,0.1,160.8262387
133907,363.8174442,12.4,236.7695908
133908,398.1985703,21.5,144.0881067
133909,362.3472449,0.8,91.00949689
133911,377.4866035,0.1,118.0165279
133912,987.9329799,0.9,275.4032231
133913,987.9329799,0.9,275.4032231
133914,944.8500279,20.8,90.02312019
133915,1075.982309,0.2,379.139148
133916,944.3643382,1,340.0573906
133917,453.3555986,11.6,123.0182743
133918,369.8906547,3.5,130.0699247
133919,580.171617,0.099909893,147.2493807
133920,851.7596617,0.1,175.875417
133921,377.4866035,0.1,118.0165279
136605,655.8442361,1,100
136606,1403.996129,1,66
136607,584.9367092,51.52786113,167.6803863
136610,653.6653281,1,140
136611,569.4994842,24.06199901,133.2799124
136612,497.3029839,0.6,224.8206762
136615,443.4489225,99.4,127.2484433
136616,632.0069714,0.6,217.6136146
136618,2351.097117,0.28272731,284.5225169
136619,456.3735914,51.2,114.8000545
136620,1022.146314,1,37
136621,1071.586345,1,220
136623,580.4266561,62.6,212.563811
136624,1438.517804,1,440
136625,577.4156914,1,150
136627,478.0435737,84.31914525,174.3770576
136628,373.753284,0.148580208,171.5451392
136630,676.3275719,1,240
136631,607.9587035,41.93822299,206.4883216
136632,384.5039772,1,165.0687158
136634,989.8910336,1,1100
136635,569.6861976,51.1,190.9576808
136636,400.097259,0.074734474,167.1322413
136637,849.4219385,1,260
136640,1140.009928,1,560
136641,511.0455299,1,27
136643,484.5375098,75.1,121.1444695
136644,1897.769956,1,1200
136648,432.6579557,0.8,227.2278071
136649,1006.349001,1,220
136650,346.1855799,54.1,113.3462405
136651,337.2618819,0.1,160.8262387
136652,744.1720212,0.4,352.7338386
136654,458.6993961,57.4,208.1948061
136655,428.0250998,1.3,204.7702775
136656,429.5122319,0.5,169.9254258
136658,387.6395352,74.76342711,182.9565086
136659,354.2690177,0.1,153.3975812
136660,324.1726953,0.5,138.4757405
136661,1255.948754,1,230
136665,1145.668276,1,170
136669,1107.92372,1,130
136677,2610.041997,1,250
136681,1419.231845,1,770
136685,1063.507334,1,84
136689,1040.750483,1,310
136693,395.7629134,1,280
147564,607.9587035,41.93822299,206.4883216
168786,250,160,152.36148
168787,450,5,95.62261581
168788,450,5,95.62261581
168789,400,54,218.46053
168790,440,36,122.795579
168791,178,180,180.0539737
168792,350,120,101.7078642
168793,500,50,115.8701156
168794,990,20,143.735286
168796,780,94,125.1311414
168797,760,47,194.962584
168798,170,6.7,49.0671996
