GenSample,Months since start of biopile,Sample,Tomitella,Actinomycetales_u,Brevundimonas,Microbacteriaceae_u,Arthrobacter,Alkanindiges,Rhodococcus,Bacteria_u,Polaromonas,Sphingomonadaceae_u,Sporosarcina,Pseudomonas,Simplicispira,Alcaligenaceae_u,Nocardiaceae_u,Sphingomonas,Flavobacteriaceae_u,Oxalobacteraceae_u,Planococcaceae_u,Pedobacter
116731,0,M,10,223,126,244,131,1639,142,192,608,119,0,424,2,0,21,240,9,65,0,9
116735,0,C,8,270,161,206,205,2100,214,191,546,95,0,239,7,1,29,235,16,74,0,9
116708,0,G,39,153,487,359,165,987,138,127,957,112,0,384,0,1,18,396,43,72,0,8
116045,0,B,165,278,156,146,299,1362,366,171,979,116,0,157,8,1,17,343,5,125,0,7
116665,0,K,10,178,679,369,137,646,82,112,1113,101,1,149,3,0,8,262,193,26,0,8
116714,0,F,836,380,471,210,383,3118,1130,133,1130,157,5,262,5,2,39,627,16,142,0,11
116716,0,E,100,201,423,115,206,1391,245,93,645,81,0,160,0,2,64,297,6,83,0,7
116042,0,A,194,221,514,142,152,852,285,112,643,97,1,94,4,1,36,297,3,85,0,8
116676,0,J,20,124,64,228,175,159,168,30,217,62,0,3560,0,0,1,361,12,71,0,3
116704,0,H,7,172,88,166,174,687,83,220,718,87,1,1583,0,0,23,294,12,85,0,8
116733,0,D,20,128,48,188,107,686,65,111,772,72,0,1606,3,0,9,248,14,85,0,2
116734,0,N,11,146,102,208,130,1172,96,163,826,91,0,1236,0,0,26,247,18,86,0,1
136693,10,A,434,297,149,133,124,1497,699,33,520,73,2200,125,22,6,29,203,2,22,244,2
136689,10,B,708,629,161,131,548,118,171,60,576,52,1431,36,5,2,24,161,0,12,131,3
136661,10,C,1913,544,884,157,374,499,966,44,606,103,281,123,2,3,50,321,2,41,25,5
136665,10,D,1223,399,142,216,743,1385,951,73,265,155,237,118,4,0,51,208,3,24,31,2
136644,10,E,4026,2160,46,117,300,1498,337,38,714,136,766,1552,0,0,14,691,3,198,40,3
136624,10,F,1420,347,85,132,298,414,483,78,353,39,2583,136,2,0,27,155,3,16,337,2
136677,10,G,18,146,594,295,148,203,253,70,1432,161,1,402,6,1,10,465,97,24,0,6
136620,10,H,83,146,125,125,87,1411,134,73,656,140,235,450,1,3,72,263,10,45,20,3
136640,10,J,202,181,49,78,183,104,526,25,100,49,169,509,1,1,21,157,3,12,41,2
136681,10,K,2193,294,54,62,203,408,373,23,207,51,1850,172,1,0,49,175,0,13,198,0
136669,10,M,1976,823,263,75,490,549,1616,14,296,51,826,181,8,9,58,122,9,34,85,5
136685,10,N,4507,911,325,166,700,961,925,71,405,123,263,338,35,14,99,346,6,31,26,8
136641,12,A,1132,363,288,120,102,1534,674,33,226,101,11,85,12,9,44,407,3,58,0,21
136637,12,B,2519,448,2929,89,294,75,330,51,90,39,131,298,92,64,34,67,3,3,15,46
136625,12,C,2589,536,1827,120,368,122,465,24,70,56,44,130,61,71,60,78,3,6,5,49
136605,12,D,2799,724,2039,249,470,750,640,40,271,96,78,105,164,63,50,272,9,30,8,90
136610,12,E,2274,371,1473,83,126,68,1135,36,60,43,10,215,82,39,116,88,7,2,1,34
116617,12,F,2557,467,2489,192,386,184,771,35,149,53,257,177,27,101,66,117,4,4,32,40
136649,12,G,2040,459,1744,77,208,109,430,23,91,34,74,265,125,121,47,38,1,3,6,28
136621,12,H,4678,810,2901,145,629,219,908,17,133,26,244,449,258,149,35,119,3,16,18,94
136630,12,J,2198,461,882,47,115,32,292,15,25,27,12,112,106,24,21,22,5,3,2,32
136634,12,K,2412,573,1304,99,169,75,423,33,82,21,366,76,148,73,40,33,11,2,50,34
136618,12,M,1120,343,1147,41,69,139,26,60,67,12,82,14,3,22,7,11,0,1,7,2
136606,12,N,2968,876,1877,191,366,559,562,59,273,92,128,246,97,46,65,190,9,29,13,38
136656,21,A,3091,535,2092,120,372,146,416,56,62,26,13,49,260,89,32,18,12,7,0,52
136612,21,B,3525,416,1805,75,318,36,275,12,27,11,28,87,254,81,18,20,0,0,2,25
136632,21,C,2526,552,1623,102,266,62,286,45,74,23,6,64,220,50,53,38,28,10,2,39
136659,21,D,2171,444,1347,92,258,25,253,26,53,27,4,44,180,59,43,19,5,4,0,51
136652,21,E,3023,553,1715,66,212,12,225,39,31,28,157,10,169,44,27,16,1,0,13,11
136648,21,F,2943,590,1901,80,303,37,277,26,31,18,18,69,221,77,20,19,1,0,1,32
136655,21,G,4793,980,2604,158,482,45,470,36,79,40,21,360,407,121,25,53,5,2,1,73
136616,21,H,3151,520,1235,116,317,36,333,41,43,26,9,140,191,65,30,26,11,1,1,38
136651,21,J,8602,1735,7428,360,1468,154,1378,45,178,38,63,270,1010,290,97,164,11,9,8,276
136660,21,K,4912,1025,3568,211,680,50,585,40,69,38,26,158,364,122,67,55,6,6,0,86
136636,21,M,4271,918,2777,164,390,43,449,58,108,40,20,156,391,83,50,62,13,4,2,66
136628,21,N,1732,327,1194,72,153,12,191,38,41,23,8,41,194,36,24,15,8,1,2,22
136619,36,A,2575,483,877,141,319,22,113,43,34,12,10,12,118,51,17,18,27,3,1,31
136650,36,B,3367,605,1448,127,374,28,116,42,30,12,10,7,235,83,14,11,36,1,2,28
136654,36,C,3557,559,951,118,234,16,71,46,38,10,7,3,249,74,66,6,30,0,1,44
136623,36,D,4227,727,1194,218,466,27,129,50,30,7,12,4,291,65,15,8,35,2,0,42
136631,36,E,6295,808,1939,167,814,66,267,65,82,18,25,26,375,171,34,10,35,0,2,44
136635,36,F,5635,857,1726,191,606,23,281,58,77,12,34,19,241,124,31,14,41,4,4,50
136643,36,G,5115,730,1829,227,506,18,131,45,49,16,19,7,255,117,126,8,50,0,0,41
136615,36,H,3177,494,850,133,239,16,126,26,20,8,16,5,141,57,7,4,58,2,0,26
136658,36,J,4306,664,1608,175,663,16,89,59,49,12,16,12,326,102,89,9,18,1,3,28
136607,36,K,5719,831,1793,230,648,28,311,65,82,15,19,16,382,128,47,22,18,1,2,41
136611,36,M,6894,1041,2314,360,887,41,269,92,62,18,12,13,436,136,31,16,86,1,1,62
136627,36,N,3739,524,775,106,278,30,139,56,37,10,1,4,192,41,12,6,112,3,1,16
168786,60,A,6519,593,610,268,361,7,122,41,16,4,20,5,121,107,7,11,217,1,0,32
168787,60,B,3757,357,644,187,450,3,133,51,18,5,3,4,85,96,8,7,67,0,3,90
168789,60,C,4958,704,310,201,398,4,100,51,16,5,20,1,137,79,20,2,24,2,4,20
168790,60,D,3772,571,810,234,258,7,245,24,64,9,13,21,674,113,25,14,185,22,0,26
168791,60,E,6743,812,400,329,359,0,182,44,45,12,22,6,150,113,17,18,317,1,1,22
168792,60,F,5952,533,1522,297,1025,5,213,24,38,8,29,18,199,184,10,11,76,3,1,91
168793,60,G,5356,411,1106,267,387,3,252,15,27,13,11,7,99,105,16,14,19,1,0,44
168794,60,H,6371,409,1062,165,577,7,173,43,36,5,2,13,105,119,6,11,4,2,0,93
168796,60,K,5502,487,831,217,520,16,213,44,34,13,9,7,147,113,18,16,304,1,4,113
168797,60,M,5395,645,179,93,142,2,49,20,5,129,0,3,28,40,6,0,2,0,1,8
168798,60,N,6340,592,250,209,304,423,97,42,141,64,9,143,81,57,77,144,30,23,0,27
