Sample,AOB,Nitrospira,Nitrobacter,Treatment,Temperature,Experiment,Weeks
116042,4.999674691,6.068796966,0,PetersUrea,Ambient,Biopile,0
116043,5.362013185,5.935104533,0,PetersUrea,Ambient,Biopile,0
116045,4.930441763,5.928042507,0,PetersUrea,Ambient,Biopile,0
116665,4.835778141,6.132630624,0,PetersUrea,Ambient,Biopile,0
116676,3.998959879,5.650439237,0,PetersUrea,Ambient,Biopile,0
116708,5.094635274,6.251835795,0,PetersUrea,Ambient,Biopile,0
116709,5.301461705,6.121515272,0,PetersUrea,Ambient,Biopile,0
116712,4.903353966,6.12252029,0,PetersUrea,Ambient,Biopile,0
116714,5.145936359,6.131822949,0,PetersUrea,Ambient,Biopile,0
116716,5.094571394,6.02303664,0,PetersUrea,Ambient,Biopile,0
116731,5.234884346,6.11181565,0,PetersUrea,Ambient,Biopile,0
116735,5.23571624,5.988013459,0,PetersUrea,Ambient,Biopile,0
133907,7.36333033,6.181121634,0,PetersUrea,Ambient,Biopile,96
133908,7.489245842,6.358354247,0,PetersUrea,Ambient,Biopile,96
133909,6.87613027,6.182613985,0,PetersUrea,Ambient,Biopile,96
133912,6.723106494,6.272899056,0,PetersUrea,Ambient,Biopile,96
133914,7.36835202,6.419857827,0,PetersUrea,Ambient,Biopile,96
133915,5.457461424,6.233719077,0,PetersUrea,Ambient,Biopile,96
133916,6.327679799,6.073243523,0,PetersUrea,Ambient,Biopile,96
133917,7.369943658,6.197150963,0,PetersUrea,Ambient,Biopile,96
133918,6.988507113,6.156805104,0,PetersUrea,Ambient,Biopile,96
133919,6.166390744,6.194979495,0,PetersUrea,Ambient,Biopile,96
133920,5.285523907,6.237117665,0,PetersUrea,Ambient,Biopile,96
133921,6.425166202,6.086647622,0,PetersUrea,Ambient,Biopile,96
136607,7.595593085,6.149015787,0,PetersUrea,Ambient,Biopile,144
136611,7.584822523,6.194731904,0,PetersUrea,Ambient,Biopile,144
136612,5.789505726,6.15467525,0,PetersUrea,Ambient,Biopile,84
136615,7.808453913,6.122565037,0,PetersUrea,Ambient,Biopile,144
136616,6.468860253,6.082216359,0,PetersUrea,Ambient,Biopile,84
136619,7.589820691,6.269719707,0,PetersUrea,Ambient,Biopile,144
136623,7.821982597,6.143651803,0,PetersUrea,Ambient,Biopile,144
136627,7.796560722,6.145005042,0,PetersUrea,Ambient,Biopile,144
136628,6.001549119,6.096973009,0,PetersUrea,Ambient,Biopile,84
136631,7.586088274,6.233054801,0,PetersUrea,Ambient,Biopile,144
136632,5.13065307,6.117705754,0,PetersUrea,Ambient,Biopile,84
136635,7.635406621,6.246198251,0,PetersUrea,Ambient,Biopile,144
136636,5.48707515,6.097699083,0,PetersUrea,Ambient,Biopile,84
136643,7.778934115,6.185912551,0,PetersUrea,Ambient,Biopile,144
136648,5.491836833,6.220859116,0,PetersUrea,Ambient,Biopile,84
136650,7.778710869,6.19145775,0,PetersUrea,Ambient,Biopile,144
136651,4.853687084,6.156935781,0,PetersUrea,Ambient,Biopile,84
136652,4.627733991,6.328702262,0,PetersUrea,Ambient,Biopile,84
136654,7.506070153,6.14757036,0,PetersUrea,Ambient,Biopile,144
136655,5.489835367,6.113755629,0,PetersUrea,Ambient,Biopile,84
136656,5.932153166,6.171625764,0,PetersUrea,Ambient,Biopile,84
136658,7.380293723,6.032893162,0,PetersUrea,Ambient,Biopile,144
136659,5.811847901,6.275600797,0,PetersUrea,Ambient,Biopile,84
136660,4.834295519,6.026237264,0,PetersUrea,Ambient,Biopile,84
168786,7.347690364,6.209436673,0,PetersUrea,Ambient,Biopile,240
